Roll_No,Off_Name,County,Ethos,xcoord,ycoord,Long,Lat
00651R,BORRIS MXD N S,Carlow,CATHOLIC,273199,150324,-6.91956,52.5993
00977B,BALLYCONNELL N S,Carlow,CATHOLIC,292481,174367,-6.62828,52.8124
01116A,BAILE AN CHUILINN N S,Carlow,CATHOLIC,272463,155784,-6.92923,52.6485
01215C,NEWTOWN DUNLECKNEY MXD,Carlow,CATHOLIC,275959,164072,-6.87567,52.7225
01415K,RATHOE NS,Carlow,CATHOLIC,281027,171359,-6.79887,52.7872
02124E,SCOIL NAIS MOLAISE,Carlow,CATHOLIC,265307,165801,-7.03297,52.7394
04077I,SCOIL NAIS BHRIDE,Carlow,CATHOLIC,282120,176948,-6.78127,52.8373
09320Q,SCOIL NAIS MHUIRE,Carlow,CATHOLIC,278553,156943,-6.83898,52.6581
11135K,ST MARYS N S,Carlow,CHURCH OF IRELAND,270371,161495,-6.95892,52.7001
13105L,ST BRIDGETS MONASTERY,Carlow,CATHOLIC,270696,161495,-6.95411,52.7
13507I,S N MUIRE LOURDES,Carlow,CATHOLIC,285444,172887,-6.73301,52.8003
13607M,ST COLUMBAS N S,Carlow,CHURCH OF IRELAND,285514,173275,-6.73187,52.8037
14837L,S N PEADAR AGUS POL,Carlow,CATHOLIC,283204,165930,-6.76798,52.7381
16080N,S N PHADRAIG NAOFA,Carlow,CATHOLIC,285520,173189,-6.7318,52.803
16938E,FR CULLEN MEMORIAL N S,Carlow,CATHOLIC,274499,172123,-6.89544,52.795
17053P,BISHOP FOLEY MEMORIAL SCHOOL,Carlow,CATHOLIC,272512,177195,-6.92377,52.8409
17096K,S N NMH FHINGIN,Carlow,CATHOLIC,277649,159052,-6.85184,52.6771
17127S,ST JOSEPHS NS,Carlow,CATHOLIC,297277,180092,-6.55546,52.863
17330P,SCOIL N MOLING-GLYNN,Carlow,CATHOLIC,274201,139477,-6.9072,52.5017
17462J,SCOIL NAIS MHICHIL,Carlow,CATHOLIC,274418,144438,-6.9029,52.5463
17481N,ST BRENDANS N S,Carlow,CATHOLIC,274710,136225,-6.90043,52.4724
17501Q,Bennekerry National School,Carlow,CATHOLIC,276212,176121,-6.86912,52.8307
17514C,S N CLUAIN NA GALL,Carlow,CATHOLIC,291401,161388,-6.64791,52.696
